Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,10,13453.575,33.766,126,283,2.44
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,11,13593.641,35.158,118,257,2.66
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,12,13777.657,36.988,105,252,2.72
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,13,13979.647,38.996,97,241,2.92
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,14,13593.608,35.158,87,247,2.68
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,15,13644.45,33.15,88,228,2.65
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,16,13933.091,36.08,84,209,2.75
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,17,13468.071,31.538,83,207,2.41
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,18,13383.448,30.711,77,198,2.37
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,19,13215.806,29.074,70,194,2.3
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,20,13033.493,27.293,71,186,2.18
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,21,12999.531,26.962,68,181,2.17
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,22,12970.344,26.677,64,182,2.17
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,23,12981.424,26.785,63,176,2.12
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,24,13330.598,30.195,65,161,2.38
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,25,13917.209,35.924,58,159,2.48
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,26,14343.827,40.091,55,151,2.44
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,27,14375.242,40.282,52,153,2.44
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,28,14805.646,44.482,50,149,2.18
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,29,15011.089,46.487,48,140,2.28
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,30,14853.003,44.944,48,144,2.21
