Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,10,14191.695,39.359,62,140,2.41
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,11,14506.339,42.449,58,129,2.52
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,12,13893.413,36.43,53,126,2.22
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,13,14018.9,37.663,48,119,2.18
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,14,13474.211,32.314,43,123,1.8
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,15,13332.63,30.923,38,118,1.75
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,16,13390.137,31.678,39,115,1.82
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,17,12960.607,27.454,34,117,1.56
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,18,13165.009,29.464,35,109,1.71
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,19,13366.662,31.447,33,104,1.74
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,20,13590.053,33.644,32,101,1.82
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,21,13665.523,34.386,36,99,1.89
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,22,13884.899,36.544,36,91,1.98
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,23,13716.564,34.888,32,88,1.89
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,24,14153.042,38.98,29,79,2.07
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,25,14254.093,39.972,29,74,2.14
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,26,14403.465,41.439,28,77,2.23
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,27,14268.651,39.658,25,78,2.1
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,28,14031.328,37.335,24,75,2.01
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,29,13730.743,34.393,22,76,1.94
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,30,13394.841,31.106,21,71,1.85
