Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,10,14611.544,46.02,130,265,2.95
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,11,15195.51,48.824,122,243,3.05
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,12,14878.571,45.72,113,249,2.88
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,13,14485.461,41.87,102,248,2.53
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,14,13954.414,36.669,102,237,2.25
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,15,13995.706,37.073,89,227,2.18
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,16,13680.9,33.99,85,231,2.08
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,17,13486.883,32.09,80,230,1.95
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,18,13575.83,33.393,78,219,1.96
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,19,13704.763,34.66,76,218,2.03
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,20,13870.693,36.291,70,208,2.13
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,21,14283.724,40.349,70,188,2.36
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,22,14119.025,38.731,70,184,2.29
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,23,13685.181,34.4,67,187,2.04
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,24,13471.147,32.298,63,187,1.87
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,25,13211.053,29.743,53,189,1.73
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,26,13403.544,31.634,56,179,1.87
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,27,13231.205,29.941,52,180,1.7
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,28,13102.815,28.68,49,179,1.62
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,29,12949.128,27.171,44,178,1.5
ETHUSDT,6h,2017-01-01,2020-12-31,SMA,30,13042.038,28.084,46,174,1.56
