Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,10,8593.209,-14.349,669,2173,-1.51
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,11,8674.44,-13.54,619,2088,-1.42
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,12,8697.768,-13.307,577,2017,-1.4
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,13,8829.959,-11.99,539,1920,-1.25
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,14,9238.111,-7.922,518,1808,-0.8
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,15,9533.899,-4.973,491,1745,-0.49
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,16,9535.876,-5.406,472,1691,-0.52
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,17,9508.407,-5.679,453,1621,-0.56
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,18,10032.771,-0.477,430,1584,-0.04
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,19,10321.249,2.384,421,1515,0.21
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,20,10648.799,5.634,403,1470,0.49
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,21,11012.187,9.238,385,1434,0.78
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,22,11038.754,9.502,361,1392,0.81
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,23,11011.75,9.234,351,1368,0.78
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,24,11228.546,11.385,345,1333,0.97
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,25,11255.208,11.649,336,1312,0.99
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,26,11620.858,15.276,317,1282,1.27
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,27,11464.313,13.723,305,1246,1.17
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,28,11593.376,15.004,284,1228,1.27
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,29,11197.678,11.078,270,1231,0.95
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,30,11184.053,10.943,266,1205,0.95
