Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,10,11963.861,19.439,184,457,1.39
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,11,12208.993,21.945,178,424,1.54
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,12,12961.956,29.466,163,392,1.99
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,13,13338.886,33.231,157,373,2.28
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,14,13455.723,34.398,138,358,2.32
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,15,13348.723,33.329,135,333,2.28
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,16,13335.633,30.574,129,330,2.03
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,17,13863.107,35.738,126,309,2.32
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,18,13973.054,36.815,115,310,2.24
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,19,14205.216,39.088,109,291,2.33
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,20,13577.14,32.938,102,294,1.98
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,21,13584.936,33.015,98,284,2.0
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,22,13612.517,33.285,92,279,1.94
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,23,13553.312,32.705,91,269,1.92
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,24,13255.012,29.801,89,274,1.74
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,25,13406.717,31.287,90,268,1.84
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,26,13395.425,31.176,82,277,1.83
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,27,13436.214,31.575,77,260,1.74
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,28,13559.586,32.784,78,255,1.81
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,29,14418.098,41.633,75,250,2.3
ETHUSDT,4h,2017-01-01,2020-12-31,SMA,30,13974.933,37.28,74,245,2.15
