Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,10,3772.718,-62.328,2617,9173,-8.26
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,11,3724.253,-62.811,2415,8854,-8.54
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,12,3869.097,-61.365,2259,8542,-8.31
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,13,4004.225,-60.016,2149,8211,-8.26
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,14,4440.737,-55.657,2031,7833,-7.37
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,15,4568.25,-54.384,1924,7576,-7.22
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,16,4687.583,-53.192,1849,7350,-7.08
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,17,4931.168,-50.76,1781,7181,-6.7
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,18,5102.766,-49.046,1705,7019,-6.43
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,19,5085.623,-49.217,1625,6821,-6.41
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,20,5170.91,-48.366,1560,6627,-6.23
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,21,5306.498,-47.012,1511,6514,-6.05
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,22,5218.9,-47.887,1468,6372,-6.28
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,23,5213.373,-47.942,1423,6235,-6.31
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,24,5405.744,-46.189,1385,6140,-5.96
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,25,5576.893,-44.486,1342,6005,-5.57
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,26,5585.345,-44.402,1282,5914,-5.5
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,27,5763.112,-42.632,1256,5792,-5.22
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,28,5958.163,-40.691,1220,5680,-4.98
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,29,6029.452,-39.981,1187,5597,-4.88
BTCUSDT,15m,2017-01-01,2020-12-31,SMA,30,6116.961,-39.105,1152,5507,-4.77
