Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,10,14041.37,37.419,59,117,2.81
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,11,14234.5,39.309,56,112,2.87
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,12,14320.46,40.15,52,110,2.79
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,13,15094.674,47.351,47,108,2.25
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,14,15157.234,43.852,44,103,2.25
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,15,15200.839,44.266,42,95,2.27
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,16,14919.549,41.596,42,93,2.15
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,17,14715.221,39.657,41,93,2.06
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,18,14514.456,37.752,39,92,1.92
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,19,14568.394,38.264,38,84,1.95
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,20,14746.938,39.958,33,80,2.0
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,21,14701.497,39.527,31,84,2.05
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,22,14995.311,42.315,31,77,2.18
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,23,14666.303,39.193,29,81,2.02
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,24,14864.768,41.077,30,78,2.11
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,25,14644.543,39.522,29,77,2.03
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,26,14407.292,37.261,26,81,1.89
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,27,14586.126,38.432,29,77,1.96
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,28,14640.24,38.946,30,70,2.01
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,29,14649.68,39.035,28,69,2.03
BTCUSDT,12h,2017-01-01,2020-12-31,SMA,30,14707.13,39.58,28,69,2.08
