Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,10,5256.772,-47.468,2826,8467,-4.95
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,11,5265.596,-47.379,2649,8091,-5.0
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,12,5581.863,-44.219,2490,7758,-4.67
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,13,5689.121,-43.147,2321,7470,-4.52
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,14,5703.616,-43.002,2219,7259,-4.56
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,15,6060.791,-39.418,2122,7001,-4.04
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,16,6124.11,-38.785,2011,6792,-4.02
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,17,6222.02,-37.806,1942,6595,-3.91
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,18,6635.639,-33.672,1846,6363,-3.4
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,19,6748.86,-32.54,1779,6216,-3.3
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,20,6920.255,-30.844,1708,6050,-3.05
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,21,6850.937,-31.537,1662,5930,-3.11
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,22,6725.107,-32.794,1601,5822,-3.26
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,23,6736.895,-32.676,1536,5765,-3.27
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,24,6652.638,-33.544,1467,5707,-3.39
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,25,6643.662,-33.633,1430,5572,-3.4
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,26,6779.544,-32.276,1398,5469,-3.27
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,27,7111.129,-29.139,1367,5355,-2.85
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,28,7171.373,-28.538,1329,5238,-2.82
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,29,7130.146,-28.93,1282,5154,-2.79
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,30,7026.448,-29.964,1237,5063,-2.95
